,text,class
231,A giraffe's tongue is so long that it uses it to clean its ears.,fact
232,The tongue of a blue whale can weigh as much as an elephant.,fact
233,"The axolotl can regenerate its spine, heart, and brain.",fact
234,"The Japanese Macaque, a type of monkey, enjoys playing in snow and even having snowball fights.",fact
235,A newborn Chinese water deer is so small it can almost be held in the palm of the hand.,fact
236,Owls do not have eyeballs. They have eye tubes.,fact
237,The name for a group of tigers is a streak.,fact
238,The narwhal's tusk reveals its past living conditions.,fact
239,Meerkats are known to eat scorpions.,fact
240,Some lizards communicate by doing push-ups.,fact
241,"The world’s smallest mammal, the bumblebee bat, weighs just barely enough to trigger a postal scale.",fact
242,An octopus has three hearts.,fact
243,The okapi is the only known relative of the giraffe.,fact
244,Ants stretch when they wake up in the morning.,fact
245,A group of flamingos is called a flamboyance.,fact
246,"The male emperor penguin is the one that incubates the egg, not the female.",fact
247,The giraffe has no vocal cords and communicates by vibrating the air around its neck.,fact
248,"The only mammals to undergo menopause are elephants, humpback whales, and human females.",fact
249,"The oldest evidence of domesticated cats dates back 9,500 years.",fact
250,Scorpions can live for up to one year without eating.,fact
251,Honeybees can get drunk on fermented tree sap.,fact
252,Squirrels plant thousands of new trees every year by forgetting where they bury their acorns.,fact
253,The cheetah can reach its top speed in just 3 seconds.,fact
254,"The black mamba, one of the most venomous snakes, gets its name from the black color inside its mouth.",fact
255,The tarsier has the largest eyes of any mammal in relation to its body size.,fact
256,"The slowest mammal on earth is the three-toed sloth, moving at a speed of 0.03 mph.",fact
257,The color red doesn’t really make bulls angry; they are color-blind.,fact
258,"When ants wake up, they stretch and yawn.",fact
259,Fleas do not have ears.,fact
260,"Polar bear fur is transparent, not white.",fact
261,Some birds can recognize themselves in the mirror.,fact
262,A group of jellyfish is called a smack.,fact
263,A grizzly bear's bite is strong enough to crush a bowling ball.,fact
264,A crocodile cannot stick its tongue out.,fact
265,The male seahorse carries the eggs until they hatch.,fact
266,Kangaroos use their tails for balance.,fact
267,Cows have best friends and can become stressed when they are separated.,fact
268,A group of frogs is called an army.,fact
269,Butterflies taste with their feet.,fact
270,Ostriches run faster than horses.,fact
271,Starfish do not have a brain.,fact
272,A cat has 32 muscles in each ear.,fact
273,A hummingbird weighs less than a penny.,fact
274,A blue whale’s tongue weighs as much as an adult elephant.,fact
275,Honeybees can recognize human faces.,fact
276,Birds do not urinate.,fact
277,Hippos secrete a natural red sunscreen.,fact
278,A group of parrots is called a pandemonium.,fact
279,A single ant can live up to 29 years.,fact
280,Fleas can accelerate faster than a space shuttle.,fact
281,Elephants are capable of swimming long distances.,fact
282,A housefly buzzes in the key of F.,fact
283,The dodo bird lived on the island of Mauritius and went extinct in the late 1600s.,fact
284,Turtles can breathe through their butts.,fact
285,"Honey never spoils. A jar of honey may remain edible for over 3,000 years.",fact
286,Pigeons can recognize themselves in the mirror and can identify each letter of the human alphabet.,fact
287,Penguins have an organ above their eyes that converts seawater to freshwater.,fact
288,Gorillas can catch human colds.,fact
289,A shrimp’s heart is located in its head.,fact
290,The name for a group of crows is a murder.,fact
291,Bees sometimes sting other bees.,fact
292,Snakes smell with their tongue.,fact
293,A newborn giant panda weighs less than a cup of tea.,fact
294,A crocodile's brain is no bigger than a cigar.,fact
295,Chimpanzees can develop their own fashion trends.,fact
296,Reindeer eyeballs turn blue in winter to help them see at lower light levels.,fact
297,Moths do not have a stomach.,fact
298,Dragonflies have been on earth for 300 million years.,fact
299,Koalas sleep up to 22 hours a day.,fact
300,The fingerprints of a koala are so similar to humans that they could taint crime scenes.,fact
301,"Otters have ""pockets"" in their skin where they keep their favorite rocks.",fact
302,Sea cucumbers can eject their internal organs to distract predators and later grow them back.,fact
303,Salamanders breathe through their skin.,fact
304,A group of owls is called a parliament.,fact
305,Porcupines float in water.,fact
306,Goats have rectangular pupils.,fact
307,A chameleon’s tongue can be up to twice the length of its body.,fact
308,"The basenji dog is known as the ""barkless dog"" because it yelps or makes a yodel-like sound instead of barking.",fact
309,"Cows can sleep standing up, but they dream lying down.",fact
310,Starfish and sea stars are not actually fish.,fact
311,The male praying mantis cannot copulate while its head is attached to its body. The female initiates mating by ripping the male's head off.,fact
312,A crocodile can't move its tongue and cannot chew. Its digestive juices are so strong that it can digest a steel nail.,fact
313,Humpback whales create the loudest sound of any living creature.,fact
314,"The world's smallest owl is the Elf Owl, which is 5 - 6 inches tall and weighs about 1 ½ ounces.",fact
315,The bat is the only mammal that can fly.,fact
316,A blue whale's heart beats only nine times a minute.,fact
317,Dik-dik is the name of a tiny antelope in the Namib Desert of Africa.,fact
318,The pistol shrimp can produce a sound louder than a rock concert with its claw.,fact
319,The eyes of the chameleon can move in two different directions at the same time.,fact
320,Lobsters have blue blood.,fact
321,Nearly three percent of the ice in Antarctic glaciers is penguin urine.,fact
322,The dachshund was originally bred to fight badgers in their dens.,fact
323,"Baby elephants suck their trunks for comfort, similar to how some human babies suck their thumbs.",fact
324,The platypus swims with its eyes closed.,fact
325,Octopuses have been observed using tools.,fact
326,Birds need gravity to swallow.,fact
327,A snail can sleep for up to three years.,fact
328,An elephant’s molar can weigh over 5 pounds.,fact
329,The horn of a rhinoceros is made of compacted hair.,fact
330,Sea otters hold hands when they sleep so they don’t drift apart.,fact
331,The age of a fish can be determined by the number of growth rings on its scales.,fact
332,The lifespan of a bush baby is 14 years.,fact
333,Only female mosquitoes bite.,fact
334,The quokka is known as the happiest animal in the world because it always seems to be smiling.,fact
335,Camels have three eyelids.,fact
336,There are more chickens than people in the world.,fact
337,The world's smallest mammal by mass is the Etruscan shrew.,fact
338,The mantis shrimp has the world's fastest punch.,fact
339,A newborn kangaroo is about 1 inch in length.,fact
340,An ostrich's kick can kill a lion.,fact
341,The Tasmanian Devil has the most powerful bite relative to body size of any mammal.,fact
342,Jellyfish are 95% water.,fact
343,Gorillas burp when they are happy.,fact
344,The fangtooth fish has the largest teeth of any fish in the ocean relative to its body size.,fact
345,The tongue of a blue whale can weigh more than most elephants.,fact
346,Tarantulas can survive for up to two years without food.,fact
347,Sloths take up to a month to digest a meal.,fact
348,There are 1 million ants for every human in the world.,fact
349,Electric eels can produce shocks of up to 600 volts.,fact
350,"Some male songbirds sing more than 2,000 times a day.",fact
351,"The saliva of a Komodo dragon contains over 50 strains of bacteria, making its bite lethal.",fact
352,The aye-aye is the world's largest nocturnal primate.,fact
353,Great white sharks can detect a drop of blood in 25 gallons of water.,fact
354,The albatross has a wingspan that can exceed 11 feet.,fact
355,Hummingbirds are the only birds that can fly backward.,fact
356,Cheetahs do not roar; they purr.,fact
357,Capuchin monkeys pee on their hands to wash their feet.,fact
358,African elephants have the best sense of smell in the animal kingdom.,fact
359,Honey bees can fly up to 15 miles per hour.,fact
360,The weight of all the ants on Earth is about the same as the weight of all the humans.,fact
361,The average dolphin consumes about 33 pounds of fish a day.,fact
362,A goldfish’s attention span is three seconds.,fact
363,Female black widow spiders sometimes kill and eat their male counterparts after mating.,fact
364,"Butterflies can only see the colors red, green, and yellow.",fact
365,"African buffalo herds display voting behavior, in which individuals indicate their travel preferences by standing up, looking in one direction, and then lying back down.",fact
366,Honeybees can recognize individual human faces.,fact
367,The sailfish is considered the fastest fish in the ocean.,fact
368,Only half of a dolphin’s brain sleeps at a time.,fact
369,The heart of a blue whale is so big that a human can swim through its arteries.,fact
370,Penguins can drink seawater.,fact
371,Pigeons can remember human faces and recognize themselves in the mirror.,fact
372,Baby otters are called pups.,fact
373,An armadillo can walk underwater.,fact
374,Female lions do 90% of the hunting.,fact
375,Seahorses mate for life and hold each other's tails to stay together.,fact
376,Lemurs are only found on the island of Madagascar.,fact
377,Rats and horses can't vomit.,fact
378,"The slowest fish is the seahorse, moving at 0.01 mph.",fact
379,A flamingo can eat only when its head is upside down.,fact
380,A giraffe's neck is too short to reach the ground.,fact
381,The bat is the only mammal that can fly.,fact
382,Sharks are immune to all known diseases.,fact
383,Goats and sheep have rectangular pupils.,fact
384,The archerfish can spit water up to 7 feet to shoot down bugs from leaves.,fact
385,A group of rhinos is called a crash.,fact
386,The average dolphin eats one-third of its weight in food each day.,fact
387,A kangaroo can jump up to three times its body length in one leap.,fact
388,Fleas can pull up to 660 times their weight.,fact
389,Alligators can live up to 100 years.,fact
390,A blue whale's call is louder than a jet engine and can be heard from hundreds of miles away.,fact
391,The average hen lays 300 eggs a year.,fact
392,A group of whales is called a pod.,fact
393,A group of kangaroos is called a mob.,fact
394,Wombat poop is cube-shaped.,fact
395,Oysters can change their gender.,fact
396,The spotted hyena can digest skin and bones.,fact
397,Cats have whiskers on the backs of their front legs.,fact
398,Spiders are not insects; they are arachnids.,fact
399,The Amazon River Dolphin is the only pink dolphin in the world.,fact
400,rogs can't swallow with their eyes open; their eyes actually help push food down their throats.,fact
401,"Octopuses have three hearts: two pump blood to the gills, and one pumps blood to the rest of the body.",fact
402,The mimic octopus can imitate the appearance and movements of other sea animals.,fact
403,The largest species of penguin is the Emperor Penguin.,fact
404,"Owls can't move their eyeballs, which is why they turn their heads almost 360 degrees.",fact
405,The only bird that can fly backward is the hummingbird.,fact
406,Ants stretch and yawn when they wake up in the morning.,fact
407,Fleas can jump up to 200 times their height.,fact
408,"African elephants have larger ears than Indian elephants, resembling the shape of the African continent.",fact
409,The bloodhound is the only animal whose evidence is admissible in an American court.,fact
410,A housefly can live for up to a month.,fact
411,A mosquito has 47 teeth.,fact
412,"Despite its white, fluffy appearance, polar bear skin is black.",fact
413,Male lions defend the pride's territory while females do most of the hunting.,fact
414,Sea otters have a pouch under their forearm to store their favorite rocks and food.,fact
415,Snow leopards don't roar.,fact
416,A baby octopus is about the size of a flea when it is born.,fact
417,Tapeworms can grow up to 20 meters long.,fact
418,Naked mole rats are cold-blooded mammals.,fact
419,The cheetah can reach its top speed in just 3 seconds.,fact
420,The gecko can't blink; it uses its tongue to moisten its eyes.,fact
421,"Some frogs can freeze during winter and then thaw, alive, during spring.",fact
422,Axolotls can regenerate their body parts.,fact
423,Baby giraffes can stand up and even run within a few hours of being born.,fact
424,Squirrels plant thousands of trees every year because they forget where they hid their acorns.,fact
425,Squids have ten tentacles.,fact
426,Worms can eat their weight in dirt every day.,fact
427,"Tigers have striped skin, not just striped fur.",fact
428,Guinea pigs are neither from Guinea nor are they pigs; they are rodents.,fact
429,"Most birds can't move their eyes, which are not spherical like those of mammals.",fact
430,Honeybees can flap their wings 200 times per second.,fact
431,"A group of flamingos is called a ""flamboyance.""",fact
432,"Some birds, such as crows, parrots, and sparrows, can imitate human speech.",fact
433,A scallop can have up to 100 eyes.,fact
434,Narwhals' long horns are actually teeth.,fact
435,"Catfish have over 27,000 taste buds.",fact
436,The world's oldest known pet hamster was 4.5 years old.,fact
437,Raccoons can make over 50 different sounds.,fact
438,"A group of pugs (dogs) is called a ""grumble.""",fact
439,The lifespan of 75% of wild birds is 6 months.,fact
440,Bonobos are capable of making and using tools.,fact
441,Orcas (killer whales) are not whales. They belong to the dolphin family.,fact
442,The Basenji is a dog known to yodel instead of bark.,fact
443,"Pufferfish have four teeth, shaped into a beak.",fact
444,Birds don't sweat.,fact
445,The hummingbird is the smallest bird and the smallest animal with a backbone.,fact
446,A full-grown bear can run as fast as a horse.,fact
447,"Cats can make over 100 different sounds, while dogs can make about ten.",fact
448,The world's smallest mammal by length is the bumblebee bat.,fact
449,A dolphin's top speed is 60 km/h.,fact
450,Only female mosquitoes drink blood.,fact
451,A jellyfish is approximately 95% water.,fact
452,"A group of ravens is called an ""unkindness"" or ""conspiracy.""",fact
453,"Cats have a third eyelid called a ""haw.""",fact
454,A grasshopper can leap 20 times the length of its own body.,fact
455,The Tyrannosaurus rex went extinct more than 60 million years before the first humans appeared.,fact
456,Cats have five toes on their front paws but only four toes on their back paws.,fact
457,Starfish have no brains.,fact
458,"Anteaters eat termites, not ants.",fact
459,Gorillas can catch human colds and other illnesses.,fact
460,A newborn kangaroo is small enough to fit in a teaspoon.,fact
461,The giraffe's tongue can be up to 20 inches long.,fact
462,"The poison arrow frog has enough poison to kill 2,200 people.",fact
463,Sea horses are monogamous and mate for life.,fact
464,Slugs have four noses.,fact
465,Snails can sleep for 3 years.,fact
466,The fingerprints of a koala are virtually indistinguishable from those of humans.,fact
467,There are more possible iterations of a game of chess than there are atoms in the known universe.,fact
468,Elephants are the only animals that can't jump.,fact
469,A cat's jaw can't move sideways.,fact
470,"A group of jellyfish is often referred to as a ""smack.""",fact
471,Owls are one of the few birds who can see the color blue.,fact
472,Giraffes and humans have the same number of neck vertebrae.,fact
473,A hummingbird's heart beats at over a thousand times a minute.,fact
474,Sea lions have rhythm and can clap to the beat.,fact
475,A crocodile cannot move its tongue.,fact
476,A snail can slide over a razor blade without being hurt.,fact
477,"Bald eagles are known to engage in a bizarre mating ritual where two eagles fly upwards, lock talons, and fall towards earth while rotating, separating just moments before hitting the ground.",fact
478,"Despite its hump, a camel's spine is straight.",fact
479,Some worms will eat themselves if they can't find any food.,fact
480,Dolphins sleep with one eye open.,fact
481,Ostriches can run faster than horses and the males can roar like lions.,fact
482,A mole can dig a tunnel 300 feet long in just one night.,fact
483,Polar bears are left-handed.,fact
484,"A group of frogs is called an ""army.""",fact
485,The bat is the only mammal that can fly.,fact
486,The leg bones of a bat are so thin that no bat can walk.,fact
487,"Some male spiders pluck their cobwebs like a guitar, to attract female spiders.",fact
488,The only mammal capable of true sustained flight is the bat.,fact
489,"The world's smallest mammal is the bumblebee bat of Thailand, weighing less than a penny.",fact
490,Goats have rectangular pupils to give them a wide field of vision.,fact
491,A snail can grow back a new eye if it loses one.,fact
492,Starfish have no heart.,fact
493,Honeybees are the only insects that produce food for humans.,fact
494,The tongue of a blue whale is so big that fifty people could stand on it.,fact
495,An ostrich's eye is bigger than its brain.,fact
496,"Around 50% of orangutans have fractured bones, owing to falling out of trees on a regular basis.",fact
497,Dragonflies have six legs but cannot walk.,fact
498,The color red doesn’t make bulls angry; they are color-blind.,fact
499,Beavers can hold their breath for 45 minutes underwater.,fact
500,Cows have best friends and become stressed when separated from them.,fact
501,A group of parrots is called a pandemonium.,fact
502,Otters hold hands when they sleep to prevent drifting apart.,fact
503,Oysters can change gender depending on which is best for mating.,fact
504,"An octopus has a beak hidden behind its tentacles, which it uses to break open crab shells.",fact
505,"Certain frogs can be frozen solid, then thawed, and continue living.",fact
506,"In 2008, a cobra in India got addicted to drinking from a bottle of beer it found.",fact
507,The male sea horse carries the eggs until they hatch instead of the female.,fact
508,The heart of a shrimp is located in its head.,fact
509,The praying mantis is the only insect that can turn its head.,fact
510,A rhinoceros's horn is made of compacted hair.,fact
511,"A polar bear’s skin is black, and its fur is not white, but actually clear.",fact
512,The fingerprints of a koala are so similar to humans that they've occasionally been confused at crime scenes.,fact
513,A group of crows is known as a murder.,fact
514,Butterflies taste with their feet.,fact
515,Only female mosquitoes bite.,fact
516,One light-year is about 5.88 trillion miles (9.46 trillion kilometers).,fact
517,Honey never spoils.,fact
518,Slugs have four noses.,fact
519,The average chocolate bar contains eight insect parts.,fact
520,"An anteater is nearly 6 feet long, yet its mouth is only an inch wide.",fact
521,The starfish is the only animal capable of turning its stomach inside out.,fact
522,"The world’s smallest winged insect, the Tanzanian parasitic wasp, is smaller than the eye of a housefly.",fact
523,The bat is the only mammal that can fly.,fact
524,Flamingos are pink because they eat shrimp.,fact
525,The smallest bird in the world is the bee hummingbird.,fact
526,Hummingbirds can fly backward.,fact
527,The blue whale's tongue weighs more than most elephants.,fact
528,Alligators can live up to 100 years.,fact
529,"A group of flamingos is called a ""flamboyance.""",fact
530,Kangaroos use their tails for balance.,fact
531,A crocodile cannot stick its tongue out.,fact
532,Slugs have four noses.,fact
533,A honeybee can fly at 15 mph.,fact
534,A jellyfish is 95 percent water.,fact
535,A cheetah can accelerate from 0 to 70 km/h in 3 seconds.,fact
536,The lifespan of a bush baby is 14 years.,fact
537,A group of kangaroos is called a mob.,fact
538,"A crocodile's tongue is attached to the roof of its mouth, so it doesn’t move.",fact
539,The leg bones of a bat are so thin that no bat can walk.,fact
540,Gorillas burp when they are happy.,fact
541,The horn of a rhinoceros is made from compacted hair rather than bone or another substance.,fact
542,"The Basenji dog is known as the ""barkless dog"" because it doesn't bark like other dogs. Instead, it makes a unique sound called a ""barroo.""",fact
543,Penguins can jump as high as 6 feet in the air.,fact
544,"A ""jiffy"" is an actual unit of time for 1/100th of a second.",fact
545,"The blood of mammals is red, the blood of insects is yellow, and the blood of lobsters is blue.",fact
546,A hardworking adult sweats up to 4 gallons per day. Most of the sweat evaporates before a person realizes it's there.,fact
547,A housefly hums in the middle octave key of F.,fact
548,"Cats have over 100 vocal sounds, while dogs only have about 10.",fact
549,"Butterflies have two compound eyes consisting of thousands of lenses, yet they can only see the colors red, green, and yellow.",fact
